
Beginning joint data output...


Time           JOINT_HEAD                         JOINT_SHOULDER_LEFT                JOINT_SHOULDER_RIGHT               JOINT_HAND_LEFT                    JOINT_HAND_RIGHT                   JOINT_SPINE_MID                    JOINT_CENTER_MASS                  
1              175  , 88   , 2638                 152  , 122  , 2803                 173  , 90   , 2644                 92   , 150  , 2943                 260  , 156  , 2646                 165  , 150  , 2695                 164  , 1.44e+05, 2.718             
2              159  , 84   , 2511                 151  , 90   , 2644                 169  , 90   , 2714                 104  , 138  , 2882                 233  , 136  , 2858                 160  , 158  , 2791                 164  , 1.44e+05, 2.712             
3              157  , 86   , 2714                 149  , 92   , 2673                 173  , 120  , 2736                 79   , 146  , 2966                 202  , 118  , 2450                 157  , 148  , 2665                 160  , 1.4e+05, 2.695              
4              157  , 86   , 2714                 144  , 112  , 2870                 167  , 108  , 2695                 79   , 146  , 2966                 217  , 124  , 2836                 163  , 150  , 2665                 160  , 1.4e+05, 2.755              
5              0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
6              157  , 86   , 2714                 145  , 138  , 2706                 165  , 118  , 2725                 70   , 148  , 2660                 198  , 112  , 2956                 155  , 164  , 2736                 153  , 1.33e+05, 2.749             
7              157  , 86   , 2714                 143  , 140  , 2714                 163  , 112  , 2768                 65   , 146  , 2956                 197  , 112  , 2605                 153  , 160  , 2633                 150  , 1.33e+05, 2.726             
8              150  , 78   , 2895                 136  , 126  , 2768                 160  , 86   , 2824                 64   , 148  , 2706                 197  , 112  , 2605                 153  , 156  , 2665                 150  , 1.33e+05, 2.795             
9              151  , 84   , 2714                 144  , 110  , 2895                 165  , 110  , 2695                 75   , 146  , 3003                 217  , 122  , 2956                 155  , 160  , 2633                 150  , 1.33e+05, 2.762             
10             0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
11             153  , 86   , 2748                 141  , 148  , 2695                 165  , 124  , 2725                 68   , 150  , 2722                 214  , 122  , 3003                 153  , 160  , 2615                 150  , 1.33e+05, 2.822             
12             153  , 86   , 2748                 140  , 128  , 2791                 164  , 86   , 2848                 106  , 134  , 2633                 241  , 126  , 2956                 155  , 148  , 2567                 150  , 1.33e+05, 2.818             
13             163  , 74   , 2602                 144  , 136  , 2768                 165  , 90   , 2780                 73   , 148  , 2930                 205  , 118  , 2930                 157  , 150  , 2736                 153  , 1.33e+05, 2.806             
14             0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
15             158  , 90   , 2780                 148  , 140  , 2803                 170  , 122  , 2836                 98   , 136  , 2678                 213  , 122  , 2980                 159  , 166  , 2540                 153  , 1.33e+05, 2.836             
16             158  , 90   , 2780                 146  , 138  , 2748                 167  , 124  , 2736                 73   , 144  , 2905                 213  , 122  , 2980                 159  , 168  , 2654                 153  , 1.33e+05, 2.799             
17             158  , 90   , 2780                 145  , 142  , 2714                 171  , 114  , 2706                 73   , 144  , 2905                 209  , 126  , 2678                 159  , 164  , 2644                 153  , 1.33e+05, 2.864             
18             158  , 90   , 2780                 142  , 132  , 2748                 170  , 120  , 2812                 73   , 144  , 2905                 191  , 132  , 2612                 155  , 158  , 2615                 153  , 1.33e+05, 2.814             
19             0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
20             158  , 90   , 2780                 146  , 140  , 2725                 169  , 148  , 2759                 74   , 146  , 2692                 215  , 126  , 2678                 159  , 170  , 2706                 153  , 1.33e+05, 2.847             
21             158  , 90   , 2780                 144  , 114  , 2882                 171  , 112  , 2706                 75   , 140  , 2930                 215  , 126  , 2678                 157  , 160  , 2665                 153  , 1.33e+05, 2.872             
22             158  , 90   , 2780                 144  , 114  , 2803                 167  , 132  , 2684                 75   , 140  , 2930                 215  , 124  , 2943                 159  , 166  , 2633                 153  , 1.33e+05, 2.869             
23             158  , 90   , 2780                 146  , 138  , 2748                 175  , 112  , 2803                 75   , 140  , 2930                 215  , 124  , 2943                 159  , 162  , 2633                 153  , 1.33e+05, 2.929             
24             158  , 90   , 2780                 144  , 114  , 2858                 170  , 92   , 2824                 74   , 146  , 2662                 215  , 124  , 2943                 159  , 152  , 2577                 153  , 1.33e+05, 2.87              
25             158  , 90   , 2780                 142  , 112  , 2905                 172  , 112  , 2836                 75   , 140  , 2956                 212  , 122  , 3153                 159  , 156  , 2644                 153  , 1.33e+05, 2.892             
26             158  , 90   , 2780                 142  , 114  , 2803                 170  , 94   , 2824                 75   , 140  , 2956                 203  , 120  , 2930                 161  , 150  , 2654                 153  , 1.33e+05, 2.8               
27             158  , 90   , 2780                 144  , 114  , 2848                 169  , 112  , 2803                 75   , 140  , 2956                 203  , 120  , 2930                 159  , 164  , 2673                 153  , 1.33e+05, 2.874             
28             158  , 90   , 2780                 144  , 132  , 2780                 173  , 124  , 2824                 75   , 140  , 2956                 195  , 114  , 2547                 161  , 160  , 2654                 153  , 1.33e+05, 2.805             
29             158  , 90   , 2780                 144  , 138  , 2791                 169  , 120  , 2803                 75   , 140  , 2956                 195  , 114  , 2547                 159  , 156  , 2759                 153  , 1.33e+05, 2.85              
30             158  , 90   , 2780                 151  , 138  , 2673                 174  , 112  , 2905                 75   , 140  , 2956                 195  , 114  , 2547                 161  , 162  , 2725                 153  , 1.33e+05, 2.853             
31             158  , 90   , 2780                 146  , 114  , 2768                 170  , 114  , 2824                 75   , 140  , 2956                 197  , 132  , 2615                 161  , 162  , 2628                 153  , 1.33e+05, 2.837             
