
Beginning data output...


Time           JOINT_HEAD                         JOINT_SHOULDER_LEFT                JOINT_SHOULDER_RIGHT               JOINT_HAND_LEFT                    JOINT_HAND_RIGHT                   JOINT_SPINE_MID                    
33             642.26, 1125.4, 3349               159.22, 77.491, 1037               23.16, 267.76, 1176                -6.3048, 351.42, 1087              352.25, -35.673, 1061              1178.3, 669.32, 3418               
34             642.26, 1125.4, 3349               252.23, 11.728, 1067               23.16, 267.76, 1176                -6.3048, 351.42, 1087              352.25, -35.673, 1061              379.99, 91.075, 1123               
35             642.26, 1125.4, 3349               141.94, 105.83, 1056               27.892, 332.28, 1070               -75.358, -112.28, 1327             1007.9, 1131.1, 3431               376.6, 97.358, 1113                
36             0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
37             0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
38             0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
39             78.057, 353.32, 1013               179.56, 97.601, 1040               8.35 , 250.7, 1202                 -971.15, 1043.9, 2993              593.1, -146.3, 1256                349.17, 204.31, 1116               
40             0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
41             78.057, 353.32, 1013               193.75, 98.07, 1045                30.968, 255.35, 1188               -32.521, -127.05, 1305             373.94, -29.02, 1065               1077.4, 968.48, 3184               
42             0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
43             0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
44             0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    0    , 0    , 0                    
45             731.33, 1066.7, 3366               276.03, 4.8678, 1054               38.475, 239.8, 1186                -32.521, -127.05, 1305             530.64, -215.28, 1080              367.18, 209.53, 1106               
46             165.35, 314.51, 1034               262.41, -8.348, 1027               46.033, 247.36, 1186               -32.521, -127.05, 1305             530.64, -215.28, 1080              388.33, 195.43, 1106               
47             165.35, 314.51, 1034               281.14, -1.8393, 1048              53.954, 249.03, 1194               -32.521, -127.05, 1305             422.45, -64.141, 1085              385.17, 193.84, 1097               
